chr pos counts norm sample
chrM 571 3 14.7587851682928 con1-ready
chrM 572 4 19.6783802243904 con1-ready
chrM 573 6 29.5175703365856 con1-ready
chrM 574 24 118.070281346342 con1-ready
chrM 575 24 118.070281346342 con1-ready
chrM 576 24 118.070281346342 con1-ready
chrM 577 24 118.070281346342 con1-ready
chrM 578 27 132.829066514635 con1-ready
chrM 579 27 132.829066514635 con1-ready
chrM 580 27 132.829066514635 con1-ready
chrM 581 27 132.829066514635 con1-ready
chrM 582 27 132.829066514635 con1-ready
chrM 583 34 167.266231907318 con1-ready
chrM 584 34 167.266231907318 con1-ready
chrM 585 34 167.266231907318 con1-ready
chrM 586 34 167.266231907318 con1-ready
chrM 587 34 167.266231907318 con1-ready
chrM 588 34 167.266231907318 con1-ready
chrM 589 34 167.266231907318 con1-ready
chrM 590 34 167.266231907318 con1-ready
chrM 591 34 167.266231907318 con1-ready
chrM 592 34 167.266231907318 con1-ready
chrM 593 34 167.266231907318 con1-ready
chrM 594 34 167.266231907318 con1-ready
chrM 595 34 167.266231907318 con1-ready
chrM 596 34 167.266231907318 con1-ready
chrM 597 34 167.266231907318 con1-ready
chrM 598 34 167.266231907318 con1-ready
chrM 599 34 167.266231907318 con1-ready
chrM 600 34 167.266231907318 con1-ready
chrM 601 34 167.266231907318 con1-ready
chrM 602 35 172.185826963416 con1-ready
chrM 603 35 172.185826963416 con1-ready
chrM 604 35 172.185826963416 con1-ready
chrM 605 35 172.185826963416 con1-ready
chrM 606 35 172.185826963416 con1-ready
chrM 607 35 172.185826963416 con1-ready
chrM 608 35 172.185826963416 con1-ready
chrM 609 35 172.185826963416 con1-ready
chrM 610 35 172.185826963416 con1-ready
chrM 611 35 172.185826963416 con1-ready
chrM 612 35 172.185826963416 con1-ready
chrM 613 35 172.185826963416 con1-ready
chrM 614 35 172.185826963416 con1-ready
chrM 615 35 172.185826963416 con1-ready
chrM 616 41 201.703397300002 con1-ready
chrM 617 41 201.703397300002 con1-ready
chrM 618 42 206.622992356099 con1-ready
chrM 619 44 216.462182468294 con1-ready
chrM 620 41 201.703397300002 con1-ready
chrM 621 40 196.783802243904 con1-ready
chrM 622 41 201.703397300002 con1-ready
chrM 623 23 113.150686290245 con1-ready
chrM 624 23 113.150686290245 con1-ready
chrM 625 25 122.98987640244 con1-ready
chrM 626 25 122.98987640244 con1-ready
chrM 627 22 108.231091234147 con1-ready
chrM 628 22 108.231091234147 con1-ready
chrM 629 15 73.793925841464 con1-ready
chrM 630 15 73.793925841464 con1-ready
chrM 631 21 103.31149617805 con1-ready
chrM 632 22 108.231091234147 con1-ready
chrM 633 22 108.231091234147 con1-ready
chrM 634 22 108.231091234147 con1-ready
chrM 635 22 108.231091234147 con1-ready
chrM 636 22 108.231091234147 con1-ready
chrM 637 22 108.231091234147 con1-ready
chrM 638 22 108.231091234147 con1-ready
chrM 639 34 167.266231907318 con1-ready
chrM 640 34 167.266231907318 con1-ready
chrM 641 34 167.266231907318 con1-ready
chrM 642 34 167.266231907318 con1-ready
chrM 643 34 167.266231907318 con1-ready
chrM 644 35 172.185826963416 con1-ready
chrM 645 35 172.185826963416 con1-ready
chrM 646 35 172.185826963416 con1-ready
chrM 647 35 172.185826963416 con1-ready
chrM 648 35 172.185826963416 con1-ready
chrM 649 35 172.185826963416 con1-ready
