"prot id","symbol","gene id","JCKP5vsWTP5","JCKP10vsWTP10","JCKP15vsWTP15","JCKP20vsWTP20","JCKP26vsWTP26_1","JCKP26vsWTP26_2","JCKP35vsWTP35","JCKP44vsWTP44","JCKP50vsWTP50","JCKP64vsWTP64","Early Spectra","Late Spectra","cluster","Detect FA","fa","early FA","late FA","flipped"
Q78KK3,Slc22a18,ENSMUSG00000000154,1.15207412,-0.22366838,0.75634164,-0.08388386,-0.27735004,-0.08997082,-0.43589258,-0.32874601,-0.34046794,-0.56145330,3,12,e,1,1,1,1,1
Q9CXV1,Sdhd,ENSMUSG00000000171,1.01333027,0.11947582,0.37968822,-0.34669983,-0.16856304,-0.12086004,-0.07963567,-0.33759962,-0.35377499,-0.44287454,6,14,e,1,1,1,1,1
Q9DCZ1,Gmpr,ENSMUSG00000000253,0.35835141,0.30669813,0.31560222,0.01208470,-0.47944866,-0.14389457,-0.13725156,-0.11282856,0.00081010,-0.00213827,9,15,e,1,1,1,1,1
Q8K2Y9,Ccm2,ENSMUSG00000000378,0.90490083,0.72502805,0.38286058,0.45915533,-0.10434174,-0.12549718,0.44834275,0.13658790,0.20329597,0.05902113,2,1,e,1,1,0,1,1
Q9ERV1,Mkrn2,ENSMUSG00000000439,0.25566086,-0.12031893,-0.32424069,-0.05181530,-0.20698754,-0.13368081,-0.02604565,-0.17892172,-0.18056523,-0.13346103,1,6,e,1,0,0,0,1
Q9JJW0,Pxmp4,ENSMUSG00000000876,1.15319721,0.22637181,0.57913040,-0.14864984,-0.52580221,-0.09313368,-0.44127252,-0.45561031,-0.24660710,-0.54975945,3,8,e,1,1,1,1,1
P35330,Icam2,ENSMUSG00000001029,0.35582472,0.32822217,0.24280725,0.20469679,-0.28495816,0.04663876,0.14610754,0.16966317,0.08582623,0.02998573,9,11,e,1,0,0,0,1
Q9ES88,Slc13a2,ENSMUSG00000001095,0.36553317,0.04577254,-0.25158121,-0.17910270,-0.40109101,-0.02203579,-0.26784281,-0.40224921,-0.40939649,-0.81532275,1,10,e,1,1,1,1,1
Q9DBL7,Coasy,ENSMUSG00000001755,0.44925388,-0.02332216,0.21496711,0.01701102,-0.17596866,-0.06198864,-0.22533208,-0.24963646,-0.32629161,-0.42950260,10,19,e,1,1,1,1,1
Q3U7U3,Fbxo7,ENSMUSG00000001786,0.33419944,0.30661530,0.00567985,-0.08645374,-0.14094461,-0.05606072,-0.24139449,-0.06704551,-0.20891775,-0.20259031,2,8,e,1,1,1,1,1
O08579,Emd,ENSMUSG00000001964,0.34507379,0.40361231,-0.26445690,-0.19520891,-0.26244727,0.03958702,-0.10661496,-0.22067130,-0.02696044,-0.06017501,4,7,e,1,1,0,1,1
Q9CY64,Blvra,ENSMUSG00000001999,0.14624352,-0.08506746,-0.18305509,-0.08784622,-0.23281619,-0.13209137,-0.11551825,-0.17299563,-0.14232214,-0.36319746,12,33,e,1,0,0,0,1
Q61335,Bcap31,ENSMUSG00000002015,0.38666672,0.20737514,-0.14538923,-0.20593686,-0.39721491,0.07154542,-0.13263686,0.08034896,-0.00032194,0.03358438,13,22,e,1,0,0,0,1
P23249,Mov10,ENSMUSG00000002227,0.22690664,0.02542221,-0.02403418,-0.05560378,-0.23490461,-0.05293577,-0.05680084,-0.06697183,-0.07657964,-0.18516944,22,16,e,1,0,0,0,1
Q3U3R4,Lmf1,ENSMUSG00000002279,0.54067047,0.26168776,0.17567912,0.02920261,-0.32538248,-0.02339100,-0.00338392,-0.17234655,-0.36427341,-0.18062664,7,7,e,1,0,0,0,1
P43136,Nr2f6,ENSMUSG00000002393,0.09623241,0.11876173,-0.18591835,-0.08024753,-0.20866065,-0.00675925,0.18457883,0.02655521,-0.03512712,-0.22823638,2,4,e,1,0,0,0,1
Q9JHL1,Slc9a3r2,ENSMUSG00000002504,0.15422565,-0.03132838,-0.10703050,-0.07778671,-0.17769208,0.00533606,-0.08037750,-0.11740417,-0.09384713,-0.31788181,27,19,e,1,1,1,0,1
Q921M4,Golga2,ENSMUSG00000002546,0.27679373,0.19177476,0.10434081,-0.68281144,-0.42864023,0.11188103,0.03097659,-0.03928721,0.07200323,0.03463972,11,18,e,1,0,0,0,1
O88696,Clpp,ENSMUSG00000002660,0.08125737,-0.07308042,-0.04492629,-0.16937420,-0.18662485,-0.11094981,-0.13989672,-0.28763071,-0.16328317,-0.35192522,18,28,e,1,1,1,1,1
Q9D773,Mrpl2,ENSMUSG00000002767,0.50386521,0.49797526,0.13175763,-0.24350795,-0.51440747,-0.04805781,-0.09989777,-0.14013403,-0.18643233,-0.26675026,13,13,e,1,0,0,0,1
Q9D142,Nudt14,ENSMUSG00000002804,0.34639635,-0.06704163,-0.81890783,-0.06837354,-0.54249477,0.06498352,0.03571065,-0.06981551,-0.23885018,-0.20331281,4,4,e,1,0,0,0,1
Q9QYA2,Tomm40,ENSMUSG00000002984,0.36668842,-0.23971026,-0.08298213,0.20000344,0.01245909,-0.02516252,-0.06944279,-0.20749429,-0.24985377,-0.28063750,14,20,e,1,1,0,1,1
Q05020,Apoc2,ENSMUSG00000002992,1.04388812,0.13021641,0.61390557,-0.42602603,-0.62575732,0.17920158,-0.26823436,-0.52486057,-0.61446858,-0.44106279,1,3,e,0,0,0,0,1
Q8R316,Hbp1,ENSMUSG00000002996,0.85587533,0.62017799,0.00589244,-0.38215225,-0.74565197,0.15349202,0.36257108,0.10224607,0.13215692,-0.27825975,1,2,e,0,0,0,0,1
P35585,Ap1m1,ENSMUSG00000003033,0.16585969,0.23195632,0.01333674,-0.05437455,-0.16380037,0.00636259,-0.07071861,-0.09543342,-0.14885989,-0.11380233,13,23,e,1,0,0,0,1
Q9D3D9,Atp5d,ENSMUSG00000003072,0.52028426,0.60349582,-0.05344364,0.15179468,-0.31545824,-0.28128056,-0.25656865,-0.27006446,-0.29833817,-0.48792281,1,12,e,1,1,1,1,1
Q8K268,Abcf3,ENSMUSG00000003234,0.29358077,0.02090787,-0.12011956,-0.08056298,-0.12160811,0.06018191,-0.02800139,-0.05927370,-0.04967614,-0.01906966,8,12,e,1,0,0,0,1
Q9Z2X8,Keap1,ENSMUSG00000003308,0.34219502,-0.12291521,-0.01474458,-0.05055219,-0.60273088,0.10452598,0.36282463,0.11915977,0.00529516,0.28376629,2,2,e,1,0,0,0,1
Q9D1M7,Fkbp11,ENSMUSG00000003355,0.25913364,0.40830527,0.09213374,-0.00919521,-0.67386960,-0.12988729,0.03820101,0.01391483,-0.17779220,-0.04367857,2,2,e,1,0,0,0,1
Q8VCI5,Pex19,ENSMUSG00000003464,0.39551828,0.11107154,0.83346294,-0.94997903,-0.75222226,-0.15872882,-0.06231060,-0.19327266,-0.47989911,-0.38209707,10,19,e,1,0,0,0,1
Q9WU79,Prodh,ENSMUSG00000003526,0.27724357,-0.04803016,-0.20525749,-0.06184184,-0.39581203,-0.28076487,-0.28705806,-0.57939084,-0.56911485,-0.71950302,28,48,e,1,1,1,1,1
Q8JZU2,Slc25a1,ENSMUSG00000003528,0.24460714,-0.12111437,0.14295803,-0.33519909,-0.37474622,-0.16420509,-0.18667351,-0.36058779,-0.40297333,-0.37791622,17,20,e,1,1,1,0,1
Q91WU5,As3mt,ENSMUSG00000003559,0.04967172,0.01551867,-0.30462323,-0.25769193,-0.16091577,0.10115980,-0.15180501,-0.12647780,-0.09924892,-0.26829921,19,34,e,1,0,0,0,1
Q9D9K3,Aven,ENSMUSG00000003604,0.51077296,0.13293331,-0.23017324,-0.25784716,-0.44189549,-0.11907749,0.19124893,-0.27471704,-0.30620011,-0.25533981,1,1,e,1,0,0,0,1
O35345,Kpna6,ENSMUSG00000003731,0.25036350,0.29221830,0.07897151,-0.02145911,-0.05265448,0.00578329,-0.01908124,-0.18108339,-0.12686870,-0.14252167,17,15,e,1,0,0,0,1
P45700,Man1a,ENSMUSG00000003746,0.25626360,0.28512131,-0.21172578,-0.17418736,-0.29398042,0.02346406,-0.08011125,-0.22632585,-0.05397198,-0.07392523,5,14,e,1,0,0,0,1
Q60759,Gcdh,ENSMUSG00000003809,0.30831636,-0.04625344,0.17310037,-0.17094141,-0.18661825,-0.23415646,-0.23054193,-0.33655660,-0.41093335,-0.59602937,37,46,e,1,1,1,1,1
P32114,Pax2,ENSMUSG00000004231,0.54640531,0.86666859,1.01373661,0.01049617,-0.48992558,0.20165058,0.24582988,0.22762405,-0.12538661,-0.14357814,1,2,e,1,0,0,0,1
Q91V01,Lpcat3,ENSMUSG00000004270,0.93857993,-0.04068293,-0.04764615,-0.22039389,-0.43114544,-0.28989492,0.10200708,-0.10354689,-0.01355171,-0.17154451,5,12,e,1,0,0,0,1
Q9JLV5,Cul3,ENSMUSG00000004364,0.31112640,0.24918821,-0.05894701,-0.03168024,-0.20699483,-0.02311865,-0.02941194,-0.04695614,0.03165084,-0.06586637,21,36,e,1,0,0,0,1
P62492,Rab11a,ENSMUSG00000004771,1.89703716,0.50453941,0.23698981,-0.00874323,0.14855572,0.30744667,0.29999824,0.13561992,0.27775826,0.05272377,3,13,e,1,0,0,0,1
Q99LD9,Eif2b2,ENSMUSG00000004788,0.39476491,0.27677697,0.02143921,-0.11702855,-0.28876710,-0.05393733,-0.06490335,0.02088585,-0.07911393,-0.08894387,7,8,e,1,0,0,0,1
P61967,Ap1s1,ENSMUSG00000004849,0.42312591,-0.02888329,-0.08564712,0.02338534,-0.14093198,-0.17008285,-0.05811250,-0.03287306,-0.12804677,-0.28449246,8,12,e,1,0,0,0,1
P28659,Celf1,ENSMUSG00000005506,0.48060425,0.10079875,0.23180156,-0.06250341,-0.21859811,0.09925152,0.04940549,0.04694170,-0.01352169,0.11667539,14,18,e,1,1,0,1,1
P51830,Adcy9,ENSMUSG00000005580,0.24220960,0.14650181,-0.00499160,0.01643160,-0.16446150,-0.07580383,-0.01622388,-0.19544873,-0.18522101,-0.25289038,1,3,e,1,0,0,0,1
P09813,Apoa2,ENSMUSG00000005681,1.54198884,0.43013167,1.27166748,-0.45830696,-0.53288272,-0.17262272,-0.29643140,-0.22091703,0.05095122,-0.15194628,3,8,e,1,0,0,0,1
Q8BGF7,Pan2,ENSMUSG00000005682,0.16101559,0.24821377,-0.11417619,0.09164228,-0.20267381,0.16884737,0.10914655,0.08318899,0.14144087,0.14350262,3,6,e,1,0,0,0,1
Q8BP48,Metap1,ENSMUSG00000005813,0.01714232,0.15079523,0.01005775,-0.30739560,-0.46894366,0.01005539,-0.10638013,-0.07666873,-0.02113056,-0.01505887,11,21,e,1,0,0,0,1
Q6ZPR5,Smpd4,ENSMUSG00000005899,0.43443722,0.25472548,0.33395765,0.04322177,-0.00966661,0.07473927,-0.00289492,-0.06216373,-0.02360988,0.05621191,11,9,e,1,0,0,0,1
Q9CQN1,Trap1,ENSMUSG00000005981,0.17666301,0.05241551,-0.19343018,-0.00528785,-0.18544600,-0.18917877,-0.19258112,-0.29297579,-0.44750125,-0.50452530,58,72,e,1,1,1,1,1
O88986,Gcat,ENSMUSG00000006378,0.04150696,0.14506072,-0.20702634,-0.45142983,-0.39520366,-0.15476739,-0.33198195,-0.49016688,-0.49541642,-0.63108509,14,32,e,1,1,1,1,1
Q5U4D8,Slc5a6,ENSMUSG00000006641,0.46637762,0.02121908,0.37085240,0.02511206,-0.03670959,-0.05372866,-0.28124263,-0.15858009,-0.00113290,-0.28324288,2,4,e,1,1,1,1,1
Q9D2C2,Saal1,ENSMUSG00000006763,0.38360947,0.18185140,-0.18626680,-0.11687652,-0.13075242,0.01122523,0.22483317,-0.07452358,0.02821007,0.02003670,3,2,e,1,1,1,0,1
P70351,Ezh1,ENSMUSG00000006920,0.52445733,0.29683009,0.26806443,-0.25204389,-0.31720971,0.12530158,0.05445561,-0.12813277,0.27961242,-0.06876640,1,2,e,1,0,0,0,1
Q02248,Ctnnb1,ENSMUSG00000006932,0.43823330,0.10758208,0.11202844,-0.02082893,-0.18831957,0.04132776,-0.07438433,0.09937145,0.11635696,0.07565584,35,63,e,1,0,0,0,1
Q6PIE5,Atp1a2,ENSMUSG00000007097,0.93568225,0.42782601,-0.49530537,-2.07417198,-1.71817906,-0.12134366,-0.07203821,-0.26755231,-0.32843748,-0.45455716,5,137,e,1,1,1,1,1
Q8R3W2,0610009B22Rik,ENSMUSG00000007777,1.30049431,0.04371342,0.41665677,-0.14090878,-0.04885219,-0.04616893,-0.10925385,-0.12837670,-0.21109573,-0.05565459,3,3,e,0,0,0,0,1
Q571I9,Aldh16a1,ENSMUSG00000007833,0.18246514,0.00357523,-0.23826013,-0.16386798,-0.32413637,-0.04311727,-0.02915204,-0.09198666,-0.12167066,-0.28154929,7,19,e,1,0,0,0,1
Q3TMH2,Scrn3,ENSMUSG00000008226,0.27772354,0.27704864,-0.23505438,-0.07358379,-0.23191139,-0.04228703,-0.30788765,-0.40305426,-0.34587795,-0.50765581,2,9,e,1,1,1,1,1
Q8CEE7,Rdh13,ENSMUSG00000008435,0.22335191,0.31586234,-0.21324636,0.11529704,-0.18279818,-0.06521823,0.06021864,-0.25408467,-0.18595666,-0.31684478,8,9,e,1,1,1,1,1
P62270,Rps18,ENSMUSG00000008668,0.83938830,-0.11807184,-0.08924606,0.02282491,-0.13403486,-0.00153702,-0.05476730,0.13420312,0.01891751,0.05157243,21,23,e,1,0,0,0,1
P46662,Nf2,ENSMUSG00000009073,0.01149438,0.15006599,-0.33418224,0.01822291,-0.46568136,-0.00675784,-0.10372521,-0.15236829,-0.19225986,-0.25607635,3,4,e,1,0,0,0,1
P59017,Bcl2l13,ENSMUSG00000009112,0.49671221,0.11789654,-0.11413890,-0.16786630,-0.05166990,-0.01257481,-0.28762549,-0.28566263,-0.26431564,-0.45340788,2,5,e,1,1,1,1,1
Q99LB7,Sardh,ENSMUSG00000009614,0.22492798,-0.11404663,-0.19831247,-0.06559041,-0.20591477,-0.18011231,-0.30016804,-0.44032856,-0.38928508,-0.67460357,59,147,e,1,1,1,1,1
P51863,Atp6v0d1,ENSMUSG00000013160,0.10817643,0.13540697,-0.06267843,0.00997492,-0.20885617,-0.08291309,-0.11519949,-0.16016325,-0.27959074,-0.30632743,18,22,e,1,1,0,1,1
Q91WD5,Ndufs2,ENSMUSG00000013593,0.10386300,0.11650416,0.31284552,-0.11672852,-0.11277165,-0.10909444,-0.13141378,-0.31532614,-0.34981070,-0.41558136,51,90,e,1,1,1,1,1
Q9CQV1,Pam16,ENSMUSG00000014301,0.26918013,0.13045532,-0.20070007,-0.01936365,-0.19486160,-0.07584079,-0.06384122,-0.26522174,-0.37622407,-0.30895106,7,4,e,1,1,1,1,1
Q9CPQ1,Cox6c,ENSMUSG00000014313,0.43665732,0.09576876,-0.19826252,-0.10216703,-0.33083157,-0.10785546,-0.11654738,-0.30091912,-0.35857990,-0.35607637,15,23,e,1,1,1,1,1
Q60805,Mertk,ENSMUSG00000014361,0.23438333,0.34011105,-0.15455001,-0.06658068,-0.21826880,-0.10736501,-0.15783182,-0.21585608,-0.24430702,-0.32247357,4,10,e,1,1,1,0,1
Q9D125,Mrps25,ENSMUSG00000014551,0.69611533,0.13526021,-0.16139392,-0.05583893,-0.44880835,-0.05473420,-0.09082194,-0.27756879,-0.28262855,-0.31728960,5,7,e,1,0,0,0,1
Q9CR62,Slc25a11,ENSMUSG00000014606,0.33039031,-0.04109432,-0.08901009,-0.21749057,-0.07705377,-0.06773945,-0.06540922,-0.20068166,-0.23382170,-0.29321437,26,47,e,1,1,1,1,1
Q8K199,Cmc2,ENSMUSG00000014633,0.48717914,0.14920381,0.14607216,0.16959296,-0.60513422,-0.37112541,-0.29751728,-0.16312479,-0.46724790,-0.53810440,1,1,e,1,1,1,1,1
Q64310,Surf4,ENSMUSG00000014867,0.32005367,0.18498718,-0.19117295,-0.04290408,-0.13649950,0.15872057,-0.14024328,-0.01433518,-0.06670289,0.02850986,6,8,e,1,0,0,0,1
Q3URE1,Acsf3,ENSMUSG00000015016,0.28081386,0.04218431,0.07247298,-0.02522419,-0.16152381,-0.08659627,-0.16061243,-0.29903025,-0.26639201,-0.36944645,19,33,e,1,1,1,1,1
Q9CR70,Lage3,ENSMUSG00000015289,1.21805062,0.42447332,0.12244390,-1.27177195,-0.82512849,0.09649235,0.18214784,-0.20184099,-0.16815749,-0.19196611,2,1,e,1,0,0,0,1
Q91W53,Golga7,ENSMUSG00000015341,0.51280486,0.24450891,-0.21995533,-0.01496217,-0.15370127,-0.06683112,-0.01001175,-0.36054009,-0.27938438,-0.34154181,3,5,e,1,0,0,0,1
Q99JY4,Trabd,ENSMUSG00000015363,0.04394623,0.19327942,-0.20905783,-0.12706005,-0.36197636,-0.02986084,-0.03817110,-0.15383732,-0.24471765,-0.23831291,1,8,e,1,1,0,1,1
Q8BWB6,Steap2,ENSMUSG00000015653,0.26785447,-0.02317558,-0.33496815,0.02598590,-0.46076408,-0.04380338,0.04235541,-0.11346083,-0.33521969,-0.14223794,1,4,e,1,1,1,0,1
P49722,Psma2,ENSMUSG00000015671,0.32497176,0.01224955,-0.12844838,0.04365832,-0.11488917,0.04445032,0.00183234,-0.14197647,-0.04108319,-0.07819573,14,15,e,1,0,0,0,1
P09925,Surf1,ENSMUSG00000015790,0.36674871,0.01367468,-0.03041669,-0.11988716,-0.20820864,-0.06891947,-0.17767719,-0.28267850,-0.21332302,-0.40232433,4,8,e,1,1,0,1,1
Q8BVI4,Qdpr,ENSMUSG00000015806,0.24830640,0.12928697,-0.03957874,-0.67456003,-0.54275011,-0.11694974,-0.21440587,-0.34733806,-0.42144645,-0.52489307,52,56,e,1,1,1,1,1
P58137,Acot8,ENSMUSG00000017307,-0.01825167,0.03962183,-0.27990900,-0.21018900,-0.27634172,-0.09838879,-0.29404011,-0.40869069,-0.12924953,-0.45722234,5,15,e,1,1,1,1,1
Q8BG32,Psmd11,ENSMUSG00000017428,0.23934199,0.06205368,-0.02874657,-0.28196833,-0.32642954,-0.00050480,-0.12803612,-0.03689867,0.01781851,0.00531060,38,27,e,1,0,0,0,1
Q0P678,Zc3h18,ENSMUSG00000017478,0.16716406,0.21471250,0.02483373,-0.13653437,-0.30989060,0.06845472,0.14028357,0.13131389,0.10055672,0.13855579,7,2,e,1,0,0,0,1
P47879,Igfbp4,ENSMUSG00000017493,0.25122392,0.08533823,0.53311842,-0.38214803,-0.49618622,-0.10196553,0.13318691,-0.20265110,-0.08099700,-0.54168781,5,1,e,1,0,0,0,1
Q8BXQ2,Pigt,ENSMUSG00000017721,0.36773575,0.20007636,0.11366734,-0.13677187,-0.24321304,-0.01551596,0.08761793,0.12014345,0.03529422,0.00749454,14,6,e,1,0,0,0,1
Q99J23,Ghdc,ENSMUSG00000017747,0.22739658,0.07529135,-0.07618397,-0.03596512,-0.36912352,-0.20374511,-0.08088986,-0.20658539,-0.29399595,-0.24360271,2,9,e,1,1,0,1,1
Q80Y61,Baiap2l2,ENSMUSG00000018126,0.34208311,0.12584299,-0.21346551,-0.85631430,-0.55654327,0.09759218,-0.03401626,-0.28910280,-0.23354846,-0.35151795,2,7,e,1,0,0,0,1
A2A5Z6,Smurf2,ENSMUSG00000018363,0.47507137,0.17560493,0.36923945,0.02682453,-0.23930414,-0.03385749,0.04799320,0.01209483,0.07414012,-0.17605403,5,2,e,1,0,0,0,1
Q6PE54,Dhx40,ENSMUSG00000018425,0.34577667,-0.03795060,-0.77619521,-0.02640452,-0.50562423,0.12273117,-0.10067260,-0.36543120,0.04057506,-0.23493747,1,1,e,1,0,0,0,1
Q8BJW5,Nol11,ENSMUSG00000018433,0.25937370,0.17173249,-0.49408979,-0.00278371,-0.22649977,0.11827762,-0.01300371,-0.22719972,-0.14936515,-0.09758032,4,5,e,1,1,1,1,1
Q91Y63,Slc13a3,ENSMUSG00000018459,0.66806935,-0.11960040,0.01120884,-0.36850557,-0.14346236,-0.27234903,-0.52079701,-0.71582690,-0.76849115,-1.08907263,10,8,e,1,1,1,1,1
Q9D0Q7,Mrpl45,ENSMUSG00000018882,0.27279725,0.06999662,-0.09614264,-0.04525244,-0.26406939,-0.06710643,0.00893123,-0.17096734,-0.23027804,-0.36956761,10,18,e,1,1,0,1,1
Q9DBD5,Pelp1,ENSMUSG00000018921,0.42675900,0.20974478,-0.15685083,-0.00421779,-0.28972620,0.16259536,0.09959119,0.31667090,0.25471519,0.24967237,7,6,e,1,1,1,1,1
Q9DBW3,Natd1,ENSMUSG00000018931,0.22454552,-0.06047800,0.15734747,-0.00850408,0.02171406,0.05843773,-0.12707406,-0.26103741,-0.12135273,-0.27244961,4,2,e,1,0,0,0,1
Q9D6M3,Slc25a22,ENSMUSG00000019082,0.54151216,0.10916385,-0.14029945,-0.38603608,-0.61954938,-0.00695189,-0.13027379,-0.25578987,-0.32128247,-0.22593994,6,11,e,1,1,0,1,1
Q9CZC8,Scrn1,ENSMUSG00000019124,0.78580929,0.91449540,0.96323805,-0.25999602,-0.37014082,-0.11664096,0.17429209,-0.15435579,-0.29453957,-0.14191280,2,1,e,1,1,1,0,1
Q9CPT4,Mydgf,ENSMUSG00000019579,0.20988436,0.14320532,-0.04468749,0.04629918,-0.42843901,0.04555826,-0.07089490,0.05008255,-0.00070987,0.08012483,6,5,e,1,0,0,0,1
Q8BJU9,Mtrf1l,ENSMUSG00000019774,0.66698012,0.10542690,-0.24616819,-0.36704885,-0.67238424,-0.13570607,-0.09473531,-0.37214943,-0.22844747,-0.32189017,1,4,e,1,1,1,1,1
Q3U9N9,Slc16a10,ENSMUSG00000019838,0.73798203,0.22822757,0.42863680,-0.32876394,0.04348451,-0.20203941,-0.04459375,-0.23508234,-0.22485730,-0.44052619,8,6,e,1,1,1,1,1
O54916,Reps1,ENSMUSG00000019854,0.19888323,0.21289368,-0.22548477,-0.11324089,-0.24467276,0.00313850,0.07643650,0.05227007,0.02028688,-0.06755026,5,5,e,1,0,0,0,1
Q8BH60,Gopc,ENSMUSG00000019861,0.56631668,0.11586903,-0.11863074,-0.11451912,-0.04804420,0.01690993,-0.03476882,-0.17267256,-0.15561692,-0.13776225,8,12,e,1,0,0,0,1
Q9D9V3,Echdc1,ENSMUSG00000019883,0.16629554,0.11962746,-0.26235557,0.03329202,-0.30228151,-0.17681441,-0.12919695,-0.40576790,-0.52432973,-0.50774844,11,21,e,1,1,1,1,1
Q61033,Tmpo,ENSMUSG00000019961,0.59153371,0.38280972,0.13902358,-0.35741493,-0.37557858,0.06424418,0.16770780,0.07978670,0.10190648,0.25466653,10,14,e,1,1,0,0,1
P49769,Psen1,ENSMUSG00000019969,1.57888356,0.71907866,0.22267816,0.17496416,-0.55101555,0.11894949,-0.04855750,-0.12842862,-0.21596801,-0.00461456,1,3,e,1,0,0,0,1
O88735,Map7,ENSMUSG00000019996,0.36892805,0.14468765,-0.06032631,-0.37121823,0.01284744,0.11865764,0.10812303,-0.00459817,-0.03019530,-0.17719439,7,13,e,1,1,1,1,1
P97865,Pex7,ENSMUSG00000020003,0.37680193,0.21053335,-0.02654820,0.18129161,-0.33223287,-0.06314656,-0.07454750,-0.37589004,-0.27383275,-0.41398086,2,5,e,1,1,1,1,1
Q9CXN7,Pbld2,ENSMUSG00000020072,0.21425094,0.01864431,-0.17825935,-0.14980053,-0.17585699,-0.24580157,-0.32940749,-0.37578391,-0.42210271,-0.70227739,10,23,e,1,1,1,1,1
Q9D882,2010107G23Rik,ENSMUSG00000020083,0.38932189,0.12186004,-0.33967104,0.00297863,-0.22814394,-0.00427668,-0.02899828,-0.25683272,-0.22386274,-0.16013033,1,1,e,1,0,0,0,1
O70451,Slc16a7,ENSMUSG00000020102,0.48986428,0.00530774,0.04737159,-1.15539542,-0.57711691,-0.01940938,-0.13912123,-0.20382496,-0.25826670,-0.36416506,4,9,e,1,1,1,1,1
P97314,Csrp2,ENSMUSG00000020186,0.14052577,0.04248875,0.21347788,-0.19535116,-0.25541374,-0.32335952,-0.26312881,-0.32455698,-0.20884387,-0.41364228,6,16,e,1,1,0,1,1
Q8VCM8,Ncln,ENSMUSG00000020238,0.29613187,0.20282526,0.33533802,0.04060442,-0.12878515,-0.05883492,-0.19135665,-0.08374328,0.00467783,-0.09058425,21,17,e,1,0,0,0,1
Q8CFI2,Cdc34,ENSMUSG00000020307,0.48088555,-0.01220545,-0.35443861,-0.24112854,-0.21759394,-0.02784774,-0.02026627,0.04306486,-0.25032788,-0.12122345,2,1,e,1,1,1,0,1
P27808,Mgat1,ENSMUSG00000020346,0.17091376,0.05582246,-0.23509483,-0.13953083,-0.35385939,-0.07148333,-0.04423108,-0.15916095,-0.20189069,-0.22576945,7,12,e,1,0,0,0,1
Q8BIJ7,Rufy1,ENSMUSG00000020375,0.42883862,0.02824666,0.05095666,-0.62317590,-0.51862365,-0.01816350,-0.19165514,-0.07116891,-0.03198632,-0.08186977,11,23,e,1,0,0,0,1
P70271,Pdlim4,ENSMUSG00000020388,1.27757686,1.78268057,1.30175723,-0.35257071,-0.94468504,0.27148899,0.04941424,0.28852279,0.17732586,0.40978006,2,4,e,1,1,0,1,1
P63147,Ube2b,ENSMUSG00000020390,0.34454991,0.31062084,-0.13039155,0.07187452,-0.43402583,-0.15712115,-0.22256987,0.04481146,-0.04451237,-0.05343094,1,2,e,1,0,0,0,1
Q9CQV5,Mrps24,ENSMUSG00000020477,0.13556521,0.08563176,-0.19148581,-0.31195721,-0.52215667,-0.10321536,0.06352239,-0.21413251,-0.21032391,-0.35522429,7,7,e,1,1,1,1,1
Q8BU88,Mrpl22,ENSMUSG00000020514,0.23969291,0.03246963,-0.40694583,0.03514863,-0.53429280,-0.09278199,-0.09800807,-0.22725294,-0.21307418,-0.30117309,7,6,e,1,0,0,0,1
P50431,Shmt1,ENSMUSG00000020534,0.15272314,-0.01718882,0.04353988,-0.28561887,-0.30783587,-0.04554105,-0.18761920,-0.21496017,-0.22304830,-0.31697704,26,56,e,1,1,1,1,1
O09117,Sypl,ENSMUSG00000020570,0.36396791,-0.02089328,0.10066633,0.18638333,-0.18390680,-0.11377762,-0.20253210,-0.16272114,-0.09329315,-0.27977748,3,8,e,1,0,0,0,1
Q61334,Bcap29,ENSMUSG00000020650,0.87856082,-0.06223762,0.85049537,-0.04536320,-0.32758074,-0.02739293,0.06450349,-0.05554308,-0.06317862,0.12152077,1,3,e,1,0,0,0,1
Q9JIY2,Cbll1,ENSMUSG00000020659,0.51696666,0.45054837,-0.02079329,-0.23542391,-0.20761758,-0.20649953,-0.22300611,-0.18681692,-0.07616698,-0.41470960,4,5,e,1,0,0,0,1
P70441,Slc9a3r1,ENSMUSG00000020733,-0.00641081,-0.05000333,-0.26157627,-0.12105539,-0.21315617,-0.12861840,-0.27667411,-0.14534306,-0.17109267,-0.42573961,66,89,e,1,1,1,1,1
Q8R480,Nup85,ENSMUSG00000020739,0.60942050,0.06664785,0.28956798,0.04072649,0.06622134,0.23974326,-0.00162858,0.08786956,0.08198312,0.20160779,7,11,e,1,1,0,1,1
P63005,Pafah1b1,ENSMUSG00000020745,0.36659885,0.05612596,-0.24635496,0.02504543,-0.27242332,-0.06481909,-0.01437489,-0.06758247,-0.05581574,-0.05051421,22,34,e,1,0,0,0,1
Q8K2M0,Mrpl38,ENSMUSG00000020775,0.06061347,0.06457028,-0.23345015,-0.58086701,-0.55342504,0.03438965,-0.02773188,-0.35045008,-0.31904641,-0.45222429,13,11,e,1,0,0,0,1
Q8BMA6,Srp68,ENSMUSG00000020780,0.31451532,0.00592911,-0.18402005,-0.16577488,-0.21452503,-0.07177688,-0.06063855,-0.11217934,-0.16673292,-0.10552433,28,25,e,1,0,0,0,1
Q5SS80,Dhrs13,ENSMUSG00000020834,0.82678981,0.18796498,-0.09249530,-0.11084840,-0.31873714,0.09313545,-0.03499756,-0.25286153,-0.03631336,-0.10772075,1,6,e,1,0,0,0,1
